id,player,sets_diff,win,points_win,points_lose,points_diff,points_total,match_time,idx
Uryi Schepanskyi_825374347,Uryi Schepanskyi,-2,0,33,42,-9,75,2021-07-18 15:35:00,500216
V Nemashkalo_123811,V Nemashkalo,3,1,34,25,9,59,2021-07-18 15:37:00,500217
Victoriia Kondratenko_866860335,Victoriia Kondratenko,-1,0,46,47,-1,93,2021-07-18 15:40:00,500218
Aniuta Muliarchuk_166979,Aniuta Muliarchuk,1,1,50,39,11,89,2021-07-18 15:40:00,500219
Suren Vlasian_166989,Suren Vlasian,-3,0,20,33,-13,53,2021-07-18 15:45:00,500220
K Olshakov_123773,K Olshakov,-2,0,31,42,-11,73,2021-07-18 15:45:00,500221
V Fedorov_123847,V Fedorov,-1,0,41,46,-5,87,2021-07-18 15:48:00,500222
Valeriy Vlasenko_166926,Valeriy Vlasenko,-2,0,36,47,-11,83,2021-07-18 15:50:00,500223
Artur Moriak_384699467,Artur Moriak,-1,0,44,49,-5,93,2021-07-18 15:50:00,500224
Anastasia Holiak_166938,Anastasia Holiak,3,1,35,23,12,58,2021-07-18 15:50:00,500225
Andrii Hordii_604771214,Andrii Hordii,-1,0,34,46,-12,80,2021-07-18 15:55:00,500226
Bohdan Havryliuk_166953,Bohdan Havryliuk,2,1,42,31,11,73,2021-07-18 16:00:00,500227
Yevhen Pysmennyi_1087401834,Yevhen Pysmennyi,-2,0,40,46,-6,86,2021-07-18 16:00:00,500228
K Novak_27771,K Novak,1,1,46,41,5,87,2021-07-18 16:00:00,500229
Borys Buriak_333151503,Borys Buriak,-3,0,25,33,-8,58,2021-07-18 16:05:00,500230
Maksym Tytskyi_166970,Maksym Tytskyi,1,1,49,47,2,96,2021-07-18 16:05:00,500231
David Ako_167091,David Ako,-2,0,33,38,-5,71,2021-07-18 16:05:00,500232
Olha Panchyshyn_166980,Olha Panchyshyn,3,1,33,20,13,53,2021-07-18 16:10:00,500233
Andrii Baklykov_1918826830,Andrii Baklykov,-2,0,33,41,-8,74,2021-07-18 16:10:00,500234
I Pandur_123812,I Pandur,3,1,33,16,17,49,2021-07-18 16:10:00,500235
Alina Kurtenko_2036103628,Alina Kurtenko,-3,0,14,33,-19,47,2021-07-18 16:15:00,500236
A Batalov_123774,A Batalov,-2,0,30,42,-12,72,2021-07-18 16:15:00,500237
Iurii Bondarenko_166990,Iurii Bondarenko,1,1,52,44,8,96,2021-07-18 16:15:00,500238
Yurii Nevmyvaka_1487988804,Yurii Nevmyvaka,3,1,33,11,22,44,2021-07-18 16:20:00,500239
Yaroslava Pachich_166939,Yaroslava Pachich,2,1,39,29,10,68,2021-07-18 16:20:00,500240
V Petrov_123848,V Petrov,-2,0,38,44,-6,82,2021-07-18 16:24:00,500241
Viktor Vakhrushev_167068,Viktor Vakhrushev,-3,0,20,33,-13,53,2021-07-18 16:25:00,500242
Mykhailo Vivatenko_371274660,Mykhailo Vivatenko,-1,0,54,49,5,103,2021-07-18 16:25:00,500243
Viktor Bereza_166954,Viktor Bereza,-3,0,20,33,-13,53,2021-07-18 16:30:00,500244
M-n Regner_27772,M-n Regner,-3,0,22,35,-13,57,2021-07-18 16:30:00,500245
Oleksandr Shkurupii_2111784734,Oleksandr Shkurupii,1,1,58,51,7,109,2021-07-18 16:30:00,500246
V Selkin_123813,V Selkin,3,1,33,17,16,50,2021-07-18 16:33:00,500247
Adam Sochor_167092,Adam Sochor,1,1,52,48,4,100,2021-07-18 16:35:00,500248
Oleksandr Liushnia_166971,Oleksandr Liushnia,1,1,56,52,4,108,2021-07-18 16:35:00,500249
Oleksandr Levadnyi_1666497996,Oleksandr Levadnyi,3,1,35,26,9,61,2021-07-18 16:35:00,500250
Aniuta Muliarchuk_166981,Aniuta Muliarchuk,-2,0,40,45,-5,85,2021-07-18 16:40:00,500251
Borys Buriak_31034282,Borys Buriak,3,1,33,19,14,52,2021-07-18 16:40:00,500252
Valentyn Lutsenko_166991,Valentyn Lutsenko,-1,0,44,48,-4,92,2021-07-18 16:45:00,500253
D Andreev_123775,D Andreev,2,1,37,31,6,68,2021-07-18 16:45:00,500254
